name,tag_a,tag_b,tag_c,byname,belonging,population,girls_population,mailaddress,twitter,instagram,youtube,other_account,homepage,area,clubroom,action_day,minimum_day,need_tool,action,action_career,festival,festival_doing,intercollegiate,intercollegiate_group,notkeio_people,notkeio_girls,affiliated_schools,sponsor,april,may,june,july,august,september,october,november,december,january,february,march,one_word,money,nomikai_frequency,nomikai_intensity,couple,handsome_beauty,honest,serious,past_questions,find_work,introduction,top_img,pic_1,pic_2,pic_3,pic_4,pic_5,pic_6,pic_7,pic_8,pic_9,pic_10,mov_1,mov_2
Head Quarter Simulation Game Club,文化系,ボードゲーム,独立団体,HQ,独立団体,25,0,なし,keioHQ,,,,,塾生会館309号室,塾生会館309号室,平日はほぼ毎日,なし,,ボードゲームであそんでいます。,ゲームマーケットに出展しました,参加した,ボードゲームの体験会を開きました,×,,0,0,,,,,,,,,,,,,,,毎日皆で集まってゲームをする気楽なサークルです。,5000,2,2,2,1,3,1,2,特になし,"部員同士で集まってボードゲームで遊ぶことを基本的な活動内容としています。
 最近では自分たちで作ったボードゲームを販売したりもしていますので興味ある方はぜひ来てみてください。",21800.jpg,21801.jpg,21802.jpg,21803.jpg,21804.jpg,,,,,,,,
モダンジャズソサエティー,音楽,コンボジャズ,文化団体連盟,日吉ジャズ研,文化団体連盟,30,4,なし,keiomodernjazz,,,,,日吉キャンパス塾生会館地下1階音楽練習室4,223,週1、木曜,なし,インプロヴィゼーション、少しのデタラメと冒険心,ジャムセッション,,参加した,ジャズの生演奏,×,,0,0,,,,新入生ライブ,,,停車場の甲子園,合宿、定期演奏会,,三田祭出演,,,,春合宿、定期演奏会,多くのプロを輩出する当サークル。アドリブ命！コンボジャズ！,9000,2,2,3,5,5,5,2,むしろ留年します,現役部員の中には、定期的にお店でライブ活動をしている人もいます。先輩たちでプロとして活躍なさっている方が多くいます。留年している方も多く、そのような人に限って演奏はうまいです。オリジナルの演奏も盛んで、積極的に作曲した曲を売り込んで演奏することも可能です。ビッグバンドと違い上下関係は皆無に等しく、実力勝負の世界です。生意気でも上手ければ何も言われません。ビッグバンドと違い、先輩とのコネや他大学との繋がりも自分で行動しない限りは増えません。しかし自分の行動と実力で地域や世代を超えて人と繋がれます。,21900.jpg,21901.jpg,21902.jpg,21903.jpg,21904.jpg,21905.jpg,21906.jpg,21907.jpg,21908.jpg,21909.jpg,21910.jpg,2191.mp4,2192.mp4
アカペラサークルWALKMEN,音楽,アカペラ,独立団体,WALKMEN(ウォークメン),独立団体,183,93,walkmen.keio@gmail.com,Keio_walkmen,,アカペラサークルWALKMEN,,,32番教室、33番教室,,毎週木曜日,特になし,歌を好きな気持ちと自分の身ひとつ,年二回開催するサークルライブに向けた全体曲の練習,大規模アカペライベント50Fesの全体曲部門で二回連続優勝,参加した,メインステージ・ミニステージでのアカペラ演奏、1日通しての教室でのアカペラ演奏、東京タワー企画への参加、模擬店でのチュロス販売,×,,0,0,,,新歓オリエンテーション,新入生発表会,スタバン,全体曲練習,夏合宿,秋サークルライブ,スタバン,三田祭,全体曲練習,全体曲練習,冬合宿,春サークルライブ,日吉キャンパス唯一の公認アカペラサークルです！,10000,2,3,4,3,4,3,2,特になし,WALKMENは公認アカペラサークルです。アカペラは全ての音を人の声によって作り上げる音楽です。歌が好きな気持ちさえあれば誰でもできるのが魅力です！もちろん初心者大歓迎！私たちと一緒に自分の声の力で音楽を作ってみませんか？歌が大好きな新入生諸君の加入を私たちWALKMEN員一同楽しみにしています😊,22000.jpg,22001.jpg,22002.jpg,22003.jpg,22004.jpg,22005.jpg,22006.jpg,22007.jpg,22008.jpg,22009.jpg,,2201.mp4,2202.mp4
楽曲制作会KMM,,,文化団体連盟,KMM,文化団体連盟,34,4,kmmmail@gmail.com,kmm_dtm,,,soundcloud https://soundcloud.com/user-536058587,,日吉キャンパス第4校舎A棟,,週一回 土曜日,特になし,PC,定期会合(交流、楽曲制作の情報共有)、サークル内コンピレーションアルバムの制作,,参加した,屋台でポテト販売,×,,0,0,,,新歓オリエンテーション,,,,夏コミ(CD販売),夏合宿(3泊4日),秋M3(CD販売),三田祭,冬コミ(CD販売),,春合宿(3泊4日),春M3(CD販売),,,2,1,2,3,4,3,1,特になし,KMMはPCを使って音楽を作る「DTM」のサークルです。毎週末の会合ではそれぞれが曲制作を進めたりアドバイスし合ったり音で遊んだりしています。それぞれ好きなジャンルが違い、DTM歴などもばらばらなので教わることはとても多いです！ 自分の作品やサークルメンバーとの合作をアルバムとして即売会などに出すことができ、外へ向けての活動も活発なサークルです。,,,,,,,,,,,,,
学生団体S.A.L.,該当なし,旅,独立団体,SAL、サル,独立団体,120,60,なし,sal_keio,sal_keio,,,https://www.salkeio.com/,日吉、新宿や秋葉原などのフリースペース、SFC、三田,,隔週日吉にて全体会議、そのほか週1で日吉とSFCそれぞれキャンパス会議、その他プロジェクトごとの活動あり,基本的に全参加(プロジェクトによる),PCは基本的に必須,スタディーツアー、フリーマガジン制作、ドキュメンタリー撮影、ワークショップの開催など,長期休みのたびにスタディーツアーを実施、SFFや学生団体総選挙にて多数の賞を受賞、年に複数のイベント開催(写真展、自作のドキュメンタリー放映など),参加しなかった,,×,,0,0,,多々あり(具体的な名前は控えさせていただきます),新歓活動、新歓BBQ,新歓合宿、新歓ピクニック,,,スタディーツアー,スタディーツアー,,,引退式,,スタディーツアー,追いコン、スタディーツアー,国際問題への理解を深め、啓発する活動を行っています。,10000,2,3,4,4,4,4,3,幅広い経験、知識、スキルを身につけられます。就活で使えることは多いです。,"学生団体 S.A.L. は国際問題の知識を深め、啓発することを活動内容として 2008年に発足した、に本部を置く学生団体です。
 ​
 S.A.L. という名前には、
 Send out( 国際問題を伝える )
 Aid( 助けを求めている人を救う )
 Learn( 世界の現実を知る、学ぶ )
 という 3 つの意味が込められています。
 ​
 私たちはこの3つをコンセプトに、スタディー・ツアーを企画し、長期休暇を利用して海外へ赴きます。そこで、国際問題の現実と向き合い、メンバー全員が自分たちに出来ることは何かを考えながら 、国内でイベントやフリーマガジン、ドキュメンタリー、商品プロデュース、web デザインなどの具体的なプロジェクトを行っています。この「伝える」という活動によって、Aid（救う）につながる、と我々は考えています。
 人は往往にして、知りもしないことを決めつけてしまったり、物事を知っていると思い込んでしまいます。それが、国際問題の本当の「問題」ではないでしょうか。この国はこうである、あの国の人々はこんな人々である、今の世の中はこうである。人々がそのように決めつけたり、思い込んでいる限り、国際問題の理解は進みません。助けが必要とされる状況に変化も起きません。そこで、我々は「伝える」ということが非常に重要な役割を果たすと考えているのです。
 国際問題に関心のない人や少し興味がある人に、国際問題を知ってもらう「きっかけ」づくりを重視し、S.A.L. は活動を行っています。",22200.jpg,22201.jpg,22202.jpg,,,,,,,,,,
ウインドアンサンブル,音楽,吹奏楽,文化団体連盟,ウインド KWE,文化団体連盟,85,50,w1ndwebadm1n@gmail.com,K_W_E_,,,なし,http://keiowind.com/,日吉塾生会館,201,木、日の合奏に加えパートごとに2日練習 計4日,様々な事情は考慮されるができるだけ練習には参加してほしい。,パートによっては自持ち楽器を求める場合あり,塾生会館での定期演奏会へ向けた練習,年に2回の定期演奏会、過去にはドラマ音源の録音や委嘱作品の初演も行った,参加しなかった,,×,,0,0,なし,なし,新歓合宿,ピクニック,春の定期演奏会,オフ期間,夏合宿、パート旅行、学年旅行,初見大会,冬の定期演奏会に向けた練習,4年が主催のイベント,冬の定期演奏会,オフ期間,追い出しコンサート スキー合宿,春合宿,日吉唯一の吹奏楽サークルです！吹奏楽やるならぜひウインドへ！,150000,3,3,4,3,4,3,3,全学部のサークルなので多様な情報が得られる,"文化連盟公認団体である当楽団は、6 月・12 月に行う定期演奏会、春・夏休みに行う合宿を中心に活動しています。 
 その他にも、自由参加のイベントとして、ウインド音楽祭、スキー旅行、各学年 やパートごとの旅行、早慶戦観戦などを行っています。",22300.jpg,22301.jpg,22302.jpg,22303.jpg,,,,,,,,,
環境サークル E.C.O.,,,文化団体連盟,環境サークル E.C.O.,文化団体連盟,5,0,なし,Keioeco,,,,,不特定,三田キャンパス,年数回,なし,,三田祭における、学生部から引き受けた落とし物の販売,なし,参加した,落とし物バザー,×,,0,0,,,,,,,,,,落とし物バザー,,,,,,,1,3,2,1,5,2,3,昔は巨大サークルでしたので、OB会では有名企業の方とお話ができます。,年数回、大学と連携した環境活動を行うサークルです。連合三田会ではごみ分別指導、三田祭では落とし物のバザーを行います。現在の部員は5人。映画好き、鉄道好き、アニメ好きなど、絶賛オタクばっかのサークルになってしまっています。,,,,,,,,,,,,,
スパイラルスケートクラブ アイスホッケー部門,スポーツ,アイスホッケー,独立団体,スパイラル,独立団体,15,5,なし,KEIOSPIRAL,,,@keiospiral.icehockey,,明治神宮外苑アイススケート場,,原則毎週水曜日、試合の日程によって多少変わります。,全参加,防具,アイスホッケー,,参加しなかった,,×,,0,0,,,新入生歓迎会,,,,,夏合宿、リーグ戦開始,,,,,,追いコン,私たちはアイスホッケーを学年関係なく楽しくやっています！,50000,2,3,4,2,4,2,2,競技人口が比較的少ないスポーツであるため、珍しさもあって話盛り上がれるかも！,スパイラルは楽しくアイスホッケーをするサークルです！経験者・初心者問いません！学年も問いません！人数が少ないからこそすぐに馴染めて、試合にもたくさん出場できます。たくさんの方をお待ちしております:),22500.jpg,22501.jpg,22502.jpg,22503.jpg,22504.jpg,,,,,,,2251.mp4,2252.mp4
ガールズ＆パンツァー同好会,該当なし,アニメ,,慶應ガルパン同好会、ガルパン同好会,未公認団体,5,0,keio_garupan@yahoo.co.jp,keio_garupan,,,,,日吉の空き教室、茨城県東茨城郡大洗町,,不定期,特になし,,上映会、大洗旅行、コミケの話し合いなど,いす-1GP 2019茨城大洗大会27位,参加しなかった,,×,,0,0,,,新歓,コミケ,,,,大洗旅行（ダージリン生誕祭）,,大洗旅行（商工感謝祭、あんこう祭）,コミケ,,,大洗旅行（海楽フェスタ）,ガルパンはいいぞ。私たちと一緒に大洗へ遊びに行きませんか？,0,1,1,2,1,5,2,1,特になし,"日本で唯一のガールズ＆パンツァー同好会が、なんと慶應にあります。
 当団体が組織されたのは2019年6月で、まだ日も浅いですが、大洗旅行を中心として精力的に活動しています。
 部員人数が少ない分、みんな仲が良いです。
 友達と行く聖地・大洗はとっても楽しいですよ。
 ガルパンは好きだけど大洗にはまだ行ったことない人、僕たちと一緒に大洗へ遊びに行きませんか？
 「ガルパンは劇場版しか見てない」って人や、「ガルパンは好きだけどそこまでガチってるわけでもない」って人でも大歓迎です！
 上映会も行っているので、入ってからでも更にハマれるチャンスはたくさんあります。
 サークルの性質上オタクや陰キャも大歓迎！
 気になることがある方は、メールやTwitterのDMで遠慮なく質問してください。",22600.jpg,22601.jpg,22602.jpg,22603.jpg,22604.jpg,22605.jpg,22606.jpg,22607.jpg,22608.jpg,22609.jpg,22610.jpg,2261.mp4,
お笑い道場o-keis,文化系,お笑い,独立団体,オーケイズ,独立団体,63,22,keiokeis@gmail.com,o_keis,,,,https://o-keis.net,日吉教室,日吉キャンパス塾生会館324,週1回(月曜日),特になし,,週1回のミーティングでのネタ見せ、各種お笑いライブ出演、学生お笑いの大会出場、企業からの依頼による公演、合宿(年2回),大学芸会2019優勝、学生M-1グランプリ2019優勝など,参加した,お笑いライブ(3日間、全9公演),×,,0,0,,,新歓合宿,新入生によるデビューライブ,ユニットバトル,七夕祭出演,大学芸会(個人戦),夏合宿,矢上祭出演,三田祭出演,紅白大喜利合戦,,NOROSHI(団体戦),春合宿、卒業ライブ,面白の血が流れている人は、いずれオーケイズにたどり着きます。,3000,4,1,3,4,5,4,3,人前で堂々と話せる能力がつきます。,みんな面白いし、みんなこのサークルを愛しています。,22700.jpg,22701.jpg,22702.jpg,22703.jpg,22704.jpg,22705.jpg,22706.jpg,22707.jpg,22708.jpg,22709.jpg,22710.jpg,,
